name,sex,cyst,cyst_age,death
Sudan,M,1,12.57780059,0
Sugar,F,1,7.334588182,0
Sunshine,F,0,NA,0
Sweetpea,F,0,NA,0
Taffy,F,0,NA,0
Tail,F,0,NA,1
Talisman,M,0,NA,0
Tangle,M,0,NA,0
Tao,M,0,NA,0
Tariku,M,1,11.18948209,1
Tater,F,0,NA,0
Taurus,M,0,NA,0
Tea,F,0,NA,0
Tecate,M,0,NA,0
Tef,F,0,NA,1
Tempest,M,0,NA,0
Tequila,M,0,NA,0
Tess,F,0,NA,0
Thandi,F,0,NA,1
Theo,M,0,NA,0
Thumper,F,0,NA,0
Tickle,F,0,NA,0
Tigabu,M,0,NA,0
Tiny,F,0,NA,1
Tipi,F,0,NA,0
Toadkiller Dog,M,0,NA,0
Top,F,0,NA,0
Toronto,M,0,NA,0
Trapezoid,F,0,NA,1
Tripod,F,1,15.9890486,1
Trudy,F,0,NA,0
Tubby,F,1,15.50730094,1
Tuk Tuk,F,0,NA,1
Turbo,M,1,9.396417979,0
Twiggy,F,0,NA,0
Two,M,0,NA,1
Tyson,M,0,NA,1
Tywin,M,0,NA,0
Uggs,M,0,NA,0
Valerie,F,0,NA,0
Vampire,F,0,NA,0
Veronica,F,0,NA,1
Vespa,F,0,NA,1
Vex,M,0,NA,0
Vienna,F,0,NA,0
Viktor,M,0,NA,1
Violet,F,0,NA,0
Viper,M,1,4.25199635,1
Virga,F,0,NA,0
Vivien,F,0,NA,0
Vixen,F,0,NA,0
Vodka,M,0,NA,0
Vye,F,0,NA,0
Wafer,F,0,NA,0
Waggle-dance,M,0,NA,0
Waka Waka,M,0,NA,0
Walter,M,0,NA,1
Wanda,F,0,NA,0
Wayne,M,0,NA,0
Webay,M,1,11.75359343,1
Weevil,F,0,NA,0
Wendy,F,0,NA,0
Whale,M,0,NA,0
Wilma,F,0,NA,0
Woo,F,0,NA,0
Wudu,F,0,NA,0
Xavier,M,0,NA,0
Yahoo,M,0,NA,0
Yellowman,M,1,12.23819302,0
Yideg,M,1,9.018480493,0
Yoshi,M,0,NA,0
Zaire,M,0,NA,0
Zamboni,F,0,NA,0
Zappa,M,0,NA,0
Zara,F,0,NA,0
Zaybar,F,0,NA,1
Zebra,F,0,NA,0
Zee,F,0,NA,0
Zelda,F,1,11.2113849,1
Zen,M,0,NA,0
Zerbert,F,0,NA,0
Zetena,M,0,NA,0
Zeus,M,1,15.4715948,0
Zilch,M,0,NA,0
Zimbaba,F,0,NA,1
Zion,F,0,NA,0
Zipadee,F,1,11.06913073,1
Zirzir,M,0,NA,0
Zoe,F,0,NA,0
Zoo,F,0,NA,0
Zorro,M,0,NA,0
Zoudu,M,0,NA,0
